algorithm,parametro,valor,custo_medio,custo_desvio_padrao,tempo_medio_segundos
TS,tabu_tenure,5.0,657.2053317002276,0.0,61.8319908000005
TS,tabu_tenure,15.0,657.2053317002276,0.0,49.77743457999895
TS,tabu_tenure,30.0,657.2053317002276,0.0,47.7560096799978
ACO,beta,3.0,5180.200465068929,9031.758691107074,26.596178580002743
ACO,beta,5.0,2000.5150363920707,2674.212167869703,18.513145919999808
ACO,beta,8.0,662.7214921702006,2.0508128977801316,20.018334180000238
ACO,evaporation_rate,0.3,662.8790952656611,1.2990140765554143,12.20819174000062
ACO,evaporation_rate,0.5,662.7214921702006,2.0508128977801316,18.723198860001865
ACO,evaporation_rate,0.7,663.692820430553,1.1117969444460858,30.518684279997252
PSO,seeded_fraction,0.0,25662497.912518162,2534697.4823763426,1.2642527200019686
PSO,seeded_fraction,0.3,17478864.547073975,3552332.5119533385,1.2610877400031313
PSO,seeded_fraction,0.6,17360517.062216807,669896.9094769115,1.4562986200035084
